Genes,C3_a,C3_b,C3_c,C3_d
GENE1,908.098868003393,823.117650784741,851.785684628808,919.939173298358
GENE2,1026.48563994918,791.11707507095,940.511593891292,961.086535600264
GENE3,760.023562074114,932.110125958344,1028.31790300668,861.578243491645
GENE4,832.651213077534,806.146830570426,1060.35677299811,829.388966151814
GENE5,946.443734805564,839.791672057296,861.688358003089,869.249043564865
GENE6,959.10596682849,943.803020181606,851.97678172044,1094.52359834676
GENE7,715.125176350028,840.742100157136,912.440720206903,866.795007539478
GENE8,811.202167502918,889.370029350792,643.777024925156,893.527084107029
GENE9,936.194462180405,859.624732392857,949.390748699323,848.936544043258
GENE10,920.708023496348,949.366720753165,953.829593641943,811.365555382694
GENE11,699.909890785593,958.070647881895,885.619446560472,1004.36912602172
GENE12,893.292783169325,802.277472061155,797.30116722429,760.738996063508
GENE13,728.713128335576,1109.69420112574,884.762716658757,779.980359378249
GENE14,1056.96035940877,802.25593180851,973.174759975793,947.237603835901
GENE15,699.118784615076,909.812807462861,1102.81476168081,931.342549587294
GENE16,1030.00269632685,1070.98225972106,938.795500997244,800.466192846591
GENE17,590.834971307773,761.861513062279,905.024634876296,832.678755439804
GENE18,783.871881639465,960.045415393713,958.24727505773,831.722011066974
GENE19,1012.83145415925,700.285545056339,988.808631468003,693.162827787253
GENE20,893.441621784769,808.649980349504,1012.36890863419,912.291966167501
GENE21,1068.59841672065,867.101805408617,1044.61536287245,911.076354353899
GENE22,781.212842452027,1057.87148344716,874.216168521421,1072.66757511759
GENE23,965.858582582955,955.904569225388,917.827178766482,940.986344114043
GENE24,1018.29148681746,728.282495336141,828.805532801312,978.084571857383
GENE25,966.236291009406,730.240646830501,1113.7647990856,803.606938370399
GENE26,742.618915178421,950.466606851625,830.698430191578,844.024985620351
GENE27,880.295726403395,930.445413589336,940.722303695032,1040.49802798415
GENE28,846.708581710145,861.649629641388,1003.54480356556,1006.11175140358
GENE29,927.223853984443,818.981085947991,955.753853605292,841.25716970594
GENE30,568.901080635117,1095.5432523356,827.233183766176,724.496272851711
GENE31,855.100060873882,1039.07268354969,918.735071128162,893.982817644237
GENE32,926.730582891428,842.88663311516,878.404351069957,910.358505252414
GENE33,987.659166430961,920.971425096339,803.486917721892,924.750668630109
GENE34,934.909595419954,836.832471379352,835.043466890845,651.34324625084
GENE35,965.026795288041,854.678665537573,978.504824664922,648.188259071069
GENE36,704.939001931461,1000.1497660091,668.73104432417,707.383457239985
GENE37,854.973709833996,1114.53851370383,985.094046888042,874.219661439798
GENE38,829.267350161549,841.173814976568,831.371089036543,881.320820061382
GENE39,754.809343894236,711.391698703346,849.640311152351,987.655638068138
GENE40,913.67713445709,791.536352942912,777.260217563063,769.745384832647
GENE41,890.375927211809,960.179086372886,920.053748633163,885.620487676422
GENE42,1020.13941824933,835.063313032822,717.328247270067,1014.97315469178
GENE43,903.5281549099,934.195296048816,1037.37515048983,746.790975207139
GENE44,963.079992995433,902.904134957554,889.535781698168,970.791113555561
GENE45,1026.24418309601,762.685118357969,898.06853897281,807.178729698448
GENE46,741.866712205156,927.479610275375,959.773414896354,917.10695383797
GENE47,1099.56862921254,806.07669603934,799.9138175007,879.970427005778
GENE48,951.775378892558,1053.03622318322,833.06150015492,875.13976125826
GENE49,1104.35891392376,784.823206350752,728.333121367848,883.131766425268
GENE50,816.444046006639,959.421594140941,1012.17769383321,866.132952452922
GENE51,1037.98457160004,951.329961845904,835.937714533262,976.570939389675
GENE52,978.632033835152,730.592212955201,1057.53002493687,857.701096941613
GENE53,1010.82806862265,806.312360019075,1063.94557326543,919.998890469258
GENE54,1024.10737577665,910.697980700142,911.368681890735,1029.46723929256
GENE55,917.779824176352,1002.88241187955,1008.01344290359,877.127106167182
GENE56,1014.39602635337,959.775234832428,940.693996839252,1067.79674564475
GENE57,859.4755371677,1109.60254961902,929.707075727476,743.483221919465
GENE58,860.481905827615,930.738327184907,925.668261516056,1105.50693971495
GENE59,884.675725238156,808.293663124267,891.192394280435,778.599363614236
GENE60,1006.69924143537,1007.65395561619,933.956828234756,1070.17071134104
GENE61,884.425510601477,785.502127103721,894.666171097682,922.436148175881
GENE62,986.695359821695,970.513396116401,582.667893600639,1012.11437766702
GENE63,856.03672751181,771.166501111916,820.374122048345,1058.24629007592
GENE64,942.014662521159,751.654173198994,1104.10011314545,920.233851894819
GENE65,687.723507138001,649.966381981245,794.685190115478,736.50217158719
GENE66,922.43029125288,915.473618151232,849.657743833419,929.139761225466
GENE67,844.875731220961,791.787865471183,885.609563260924,568.270664373025
GENE68,608.512873199356,894.812436043958,763.058364250332,908.446031310558
GENE69,1012.28537795865,945.514311952317,924.438185622102,1033.38420151324
GENE70,694.367896109896,966.029091238964,874.31804203843,1016.15923560497
GENE71,918.218775207418,764.313726183097,1010.46615026147,879.805182792194
GENE72,1114.37428946648,1102.40356778649,915.749765958257,855.830682475355
GENE73,775.788038239766,819.129445390782,941.441579982272,775.678273716097
GENE74,1024.53981446061,812.061489754731,895.36128538263,904.75480053557
GENE75,1028.1304914492,937.829423787061,839.481608769316,831.556300640066
GENE76,892.223103230992,993.042554890659,929.037809774131,783.863491348403
GENE77,966.55512200362,1015.86895707073,817.596726381028,914.098752991118
GENE78,845.074992814525,1003.11880061039,1231.76497245181,653.676734712499
GENE79,1007.78166035364,903.844825562152,899.971102994652,1004.04539975569
GENE80,990.914545218152,991.423204599991,959.22056538632,666.212391300621
GENE81,905.052759247119,969.341088026564,1101.77255134578,978.943701518672
GENE82,1040.68394998881,1026.92108650859,812.576847394877,763.280644922277
GENE83,1071.33808419968,1028.62811362905,689.903072395331,1001.67693846604
GENE84,1084.3054097493,802.391419383083,689.191381813219,771.111718474377
GENE85,1000.82847153886,801.001616646537,949.747112022007,976.284032502036
GENE86,960.395301179518,882.933852245487,925.779127601809,1015.12767846295
GENE87,830.387830274931,922.142739677378,969.741808062431,871.702788924175
GENE88,1058.49851653303,942.831312133225,823.924883105773,671.280360251982
GENE89,1153.59990205765,977.834907011824,988.35532335477,734.812226246853
GENE90,784.185496911715,918.904180761522,866.253473088057,924.361947057741
GENE91,986.259147929801,969.194998132068,931.54557267685,1005.76835728418
GENE92,883.087274612234,833.732605311601,883.284485434903,748.550620913995
GENE93,834.352030199177,1004.19451777693,957.259430951425,930.73366004386
GENE94,705.610976553664,864.571932068123,938.985160431208,798.918018170263
GENE95,938.504170870199,868.068290200919,978.080410585734,779.168063455266
GENE96,847.601179020176,1077.29715731761,670.085866950329,1012.17415649579
GENE97,972.033470027349,879.829820154394,621.946962764732,997.629692750641
GENE98,918.040995707922,759.563052845353,800.153905163589,998.928590566224
GENE99,788.043554354005,1132.13280120379,973.322416951994,716.152458589674
GENE100,828.960537802321,856.200343403676,796.107472154187,942.044690204176
GENE101,943.218585785254,1064.81455456391,780.256362297386,963.777171691217
GENE102,860.13184698067,942.215522452311,673.624591553754,985.781788328056
GENE103,869.286722993426,958.121140647421,912.156638863357,869.849785232622
GENE104,954.648335142052,1034.90955207033,1083.80785628811,878.240226085486
GENE105,954.334086509086,801.411417413473,649.83102326166,937.25107305588
GENE106,767.778604640989,928.714624771433,970.948227566578,932.600777332416
GENE107,1062.47453765103,1105.52754044908,775.276532840871,933.968502473476
GENE108,930.391147172752,931.610545540502,829.745899099442,787.028396703455
GENE109,864.946859279726,719.06722248352,748.351629985911,888.051922852921
GENE110,749.615547176579,969.257495406959,817.120982024398,825.299064554864
GENE111,791.481395446318,1002.76835989162,825.213629735167,1091.35645253773
GENE112,711.098484436366,1025.23460266271,913.246548908164,996.373740897494
GENE113,908.643148681104,730.296048023998,801.464247737892,1054.39261317386
GENE114,906.496570743534,1079.05670770543,686.664394895136,948.276595064668
GENE115,739.154086149058,868.152790087603,898.596103966824,854.108160241684
GENE116,762.704631195737,934.621348978417,764.068848671404,830.099245709821
GENE117,917.622112246959,923.198263417839,820.318341369398,764.095615615705
GENE118,1068.53221500272,747.127867596884,1019.46044007118,876.86937697061
GENE119,872.017335324436,725.916469507129,749.170269270383,859.090255842079
GENE120,1201.31966670864,763.667947759374,904.704730477898,864.76247465959
GENE121,873.957754597647,908.640634647729,1002.08036438785,975.46790151724
GENE122,982.071781104641,774.609257902899,971.696242904352,901.929645256956
GENE123,982.574323625255,861.532631719276,997.476239680247,976.865403808458
GENE124,1027.12568001857,833.120266399053,769.096209071301,856.548754884131
GENE125,886.752766746851,761.669973296687,757.151300283781,755.674559849157
GENE126,1104.61036367184,1000.68390179149,757.390586082046,1074.26405992115
GENE127,829.318189059634,785.143781427781,963.980684869229,726.896804662906
GENE128,720.227288838267,837.83237974623,854.529564549646,881.997406438539
GENE129,865.917944640137,945.049505116158,942.012990305387,628.702515878443
GENE130,1009.91229710656,882.46350350734,935.019499068178,874.553492945058
GENE131,919.63827058589,1096.80073025974,970.25885883291,1084.97782086776
GENE132,774.290575120531,770.12566568257,1190.10224729524,747.52975196625
